timestamp,state,base_speed_ms,target_rpm,actual_rpm,arm_pressure_kg,error_code
1000.1,SANDING,0.2,8000,7950,2.1,NONE
1000.2,SANDING,0.2,8000,7945,2.0,NONE
1000.3,SANDING,0.2,8000,7960,2.1,NONE
1000.4,SANDING,0.2,8000,7950,2.2,NONE
1000.5,SANDING,0.2,8000,7940,2.1,NONE
1000.6,SANDING,0.2,8000,7955,2.0,NONE
1000.7,SANDING,0.2,8000,7960,1.9,NONE
1000.8,SANDING,0.2,8000,7950,2.1,NONE
1000.9,SANDING,0.2,8000,7945,2.2,NONE
1001.0,SANDING,0.2,8000,7950,2.1,NONE
1001.1,SANDING,0.2,8000,7960,2.0,NONE
1001.2,SANDING,0.2,8000,7955,2.1,NONE
1001.3,SANDING,0.2,8000,7940,2.2,NONE
1001.4,SANDING,0.2,8000,7950,2.1,NONE
1001.5,SANDING,0.2,8000,7960,2.0,NONE
1001.6,SANDING,0.3,8000,7950,2.2,NONE
1001.7,SANDING,0.3,8000,7945,2.1,NONE
1001.8,SANDING,0.3,8000,7950,2.3,NONE
1001.9,SANDING,0.3,8000,7930,2.2,NONE
1002.0,SANDING,0.3,8000,7940,2.1,NONE
1002.1,IDLE,0.0,0,0,0.0,NONE
1002.2,IDLE,0.0,0,0,0.0,NONE
1002.3,IDLE,0.0,0,0,0.0,NONE
1002.4,IDLE,0.0,0,0,0.0,NONE
1002.5,IDLE,0.0,0,0,0.0,NONE
1004.0,SANDING,0.6,5000,4950,2.1,NONE
1004.1,SANDING,0.6,5000,4945,2.2,NONE
1004.2,SANDING,0.6,5000,4960,2.1,NONE
1004.3,SANDING,0.6,5000,4950,2.3,NONE
1004.4,SANDING,0.6,5000,4900,2.6,NONE
1004.5,SANDING,0.6,5000,4850,2.9,NONE
1004.6,SANDING,0.6,5000,4700,3.3,NONE
1004.7,SANDING,0.6,5000,4500,3.8,NONE
1004.8,SANDING,0.6,5000,4100,4.2,NONE
1004.9,SANDING,0.6,5000,3500,4.8,WARNING_HIGH_LOAD
1005.0,SANDING,0.6,5000,2800,5.4,WARNING_HIGH_LOAD
1005.1,SANDING,0.6,5000,1500,5.9,WARNING_HIGH_LOAD
1005.2,SANDING,0.6,5000,800,6.2,WARNING_HIGH_LOAD
1005.3,ERROR,0.0,0,0,6.5,ERR_SANDER_STALL
1005.4,ERROR,0.0,0,0,6.5,ERR_SANDER_STALL
1005.5,IDLE,0.0,0,0,0.0,NONE
